video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FZhbJZEgKQ4&pp=ygUJTWljcm9zb2Z0,/@Microsoft,Microsoft,Full Keynote: Satya Nadella at Microsoft Ignite 2023,429K,2 months,Full Keynote: Satya Nadella at Microsoft Ignite 2023 Sign up today for access to Microsoft Ignite keynotes and sessions: ...,2024-01-29 07:06:05.116053
/watch?v=Io4TPL4g_T8&pp=ygUJTWljcm9zb2Z0,/@YongYea,YongYea,"Microsoft Shut Down & Lay Off Xbox Physical Games Departments, May Indiciate All Digital Future",45K,7 hours,PATREON: http://www.patreon.com/yongyea TWITTER: http://www.twitter.com/yongyea INSTAGRAM: ...,2024-01-29 07:06:05.117652
/watch?v=p--YZ1QKVj4&pp=ygUJTWljcm9zb2Z0,/@Bloomberg_Live,Bloomberg Live,Microsoft CEO Nadella on AI Wave and Tech in 2024,126K,12 days,"Satya Nadella, Chairman & CEO, Microsoft joins Bloomberg's Brad Stone for a conversation at Bloomberg House at Davos.",2024-01-29 07:06:05.119920
/watch?v=XYUEQ0SyOyE&pp=ygUJTWljcm9zb2Z0,/@Microsoft,Microsoft,"Full Event | #MicrosoftEvent September 21, 2023",452K,4 months,"Enter the new era of AI with Copilot for Microsoft. See event announcements from Bing, Edge, Microsoft 365, Surface and ...",2024-01-29 07:06:05.122229
/watch?v=XGD0eGfKwlE&pp=ygUJTWljcm9zb2Z0,/@KevinStratvert,Kevin Stratvert,🤷‍♂️ What is Microsoft 365 - Explained,951K,2 years,"In this step-by-step tutorial, find out all about Microsoft 365. Microsoft 365 is a subscription plan that includes the Microsoft Office ...",2024-01-29 07:06:05.125756
/watch?v=k1VUZEVuDJ8&pp=ygUJTWljcm9zb2Z0,/@TeachersTech,Teacher's Tech,Microsoft Excel Tutorial -  Beginners Level 1,12M,5 years,"0:00 Start 1:07 Starting up 1:27 Recent documents and pinning documents 1:54 Templates 2:34 Layout - Tabs, ribbons, and ...",2024-01-29 07:06:05.128492
/watch?v=y7KxKws5Voc&pp=ygUJTWljcm9zb2Z0,/@surface,Microsoft Surface,Meet the new Surface Laptop Studio 2,707K,4 months,"Surface Laptop Studio 2 is our most powerful Surface ever built, designed for performance, versatility, and creativity. With the ...",2024-01-29 07:06:05.130416
/watch?v=U7uuxBjKkCQ&pp=ygUJTWljcm9zb2Z0,/@TeachersTech,Teacher's Tech,10 Essential NEW Microsoft Outlook Tips & Tricks for 2024 + Bonus Material!  📧,27K,3 weeks,Unlock the full potential of the New Microsoft Outlook with our comprehensive guide! Discover 10 essential tips and tricks plus ...,2024-01-29 07:06:05.133232
/watch?v=83ehO8Y3VBE&pp=ygUJTWljcm9zb2Z0,/@WhatCultureGaming,WhatCulture Gaming,What Microsoft's Mass Layoffs Mean For Xbox,14K,2 days,"When 10% of your entire gaming division gets laid off out of nowhere, there's a problem. Subscribe to the WhatCulture Gaming ...",2024-01-29 07:06:05.135330
/watch?v=S-nHYzK-BVg&pp=ygUJTWljcm9zb2Z0,/@techteachersandstudents,Technology for Teachers and Students,Beginner's Guide to Microsoft Word,6.6M,6 years,"If you like this video, here's my entire playlist of Word tutorials: http://bit.ly/2FY6NVT Learn the basics of effectively using Microsoft ...",2024-01-29 07:06:05.137549
